,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,hand
94,1,2,1,6,3,5,2,12,1,4,Zero
95,4,13,1,1,1,2,1,6,2,2,One
96,4,7,4,10,3,9,2,12,3,13,Zero
97,3,8,1,13,4,9,2,13,4,3,One
98,2,7,2,12,4,4,1,2,1,12,One
99,3,6,4,4,2,9,3,10,3,11,Zero
100,2,6,4,7,1,6,4,12,3,10,One
101,3,3,1,1,3,8,1,10,3,2,Zero
102,4,6,3,1,2,12,4,1,1,4,One
103,4,5,2,5,3,11,2,13,2,2,One
104,3,9,2,4,4,4,2,9,3,13,Two
105,2,1,2,7,2,3,2,9,2,13,Five
106,1,6,1,1,3,12,2,12,4,8,One
107,3,12,1,8,3,10,4,3,4,11,Zero
108,3,9,4,11,2,5,3,5,1,13,One
109,3,5,4,2,2,4,3,4,3,8,One
110,1,7,3,1,3,13,2,10,1,5,Zero
111,2,6,4,6,2,13,2,8,2,9,One
112,2,2,2,13,4,9,1,1,3,6,Zero
113,1,6,2,8,1,3,1,13,3,13,One
114,1,1,2,2,3,10,1,7,4,13,Zero
115,4,4,1,2,3,6,2,13,3,3,Zero
116,4,7,2,3,1,4,2,11,1,5,Zero
117,2,4,3,13,1,7,2,12,4,8,Zero
118,3,4,1,8,4,4,4,6,1,11,One
119,3,1,1,3,3,7,4,5,3,10,Zero
120,3,6,3,8,4,6,4,1,3,4,One
121,1,2,3,9,4,13,4,4,3,10,Zero
122,3,7,2,11,2,2,4,5,4,1,Zero
123,4,6,2,9,1,11,2,2,3,3,Zero
124,1,10,2,9,2,2,1,8,3,3,Zero
125,1,6,4,2,1,2,3,4,1,5,One
126,2,7,1,2,1,5,2,9,2,3,Zero
127,4,2,2,9,1,4,4,8,1,7,Zero
128,3,7,4,6,2,1,3,9,1,9,One
129,3,12,4,7,2,7,3,11,1,8,One
130,4,6,4,10,4,13,2,4,4,8,Zero
131,1,5,1,4,2,8,2,6,3,6,One
132,2,3,2,5,4,9,3,4,2,11,Zero
133,1,3,4,11,1,13,3,3,2,5,One
134,2,5,1,10,2,12,4,11,4,5,One
135,4,10,1,9,2,11,1,1,2,12,Zero
136,4,7,4,9,4,13,4,4,3,1,Zero
137,3,10,3,7,1,8,1,10,1,6,One
138,1,6,3,11,2,13,4,7,3,4,Zero
139,4,5,4,13,3,1,3,4,3,13,One
140,4,9,1,8,3,13,1,7,3,7,One
141,4,13,1,8,3,6,4,9,1,2,Zero
142,3,13,1,9,1,7,3,5,1,8,Zero
143,2,2,2,5,3,4,2,3,2,9,Zero
144,4,8,3,3,1,1,3,7,2,12,Zero
145,2,3,1,5,2,9,4,12,3,7,Zero
146,4,1,4,2,4,3,1,13,3,13,One
147,3,2,3,6,2,5,3,8,2,10,Zero
148,1,12,2,3,3,3,2,4,2,12,Two
149,1,7,4,6,4,8,3,1,2,1,One
150,1,11,1,6,4,5,3,10,1,9,Zero
151,1,5,2,7,3,5,2,1,2,13,One
152,3,7,4,5,1,6,3,12,4,1,Zero
153,3,3,4,9,2,10,2,7,3,12,Zero
154,3,11,1,6,1,12,1,11,4,1,One
155,4,9,2,1,1,3,1,12,2,12,One
156,2,4,3,8,3,12,3,7,1,9,Zero
157,1,7,2,2,1,5,1,3,3,10,Zero
158,4,6,2,11,3,4,3,11,1,4,Two
159,3,7,2,8,3,2,2,1,3,5,Zero
160,4,6,4,11,1,11,2,11,2,6,Six
161,4,10,3,6,4,6,2,1,4,1,Two
162,2,5,1,9,1,4,2,3,4,4,One
163,1,4,4,3,4,8,2,12,2,9,Zero
164,3,6,4,6,2,5,3,12,4,4,One
165,4,8,3,8,1,13,2,6,2,1,One
166,3,13,3,7,2,5,3,3,4,4,Zero
167,2,1,1,7,2,6,1,5,4,5,One
168,4,2,1,5,3,13,1,8,4,4,Zero
169,1,7,2,3,2,12,3,11,1,5,Zero
170,4,9,2,4,3,10,1,5,1,12,Zero
171,4,8,2,12,2,3,3,12,2,9,One
172,3,9,2,12,4,2,1,2,2,6,One
173,3,5,4,4,4,12,4,9,1,4,One
174,2,9,2,1,3,7,2,7,1,3,One
175,1,11,2,2,4,7,1,12,3,10,Zero
176,1,1,4,13,4,10,1,8,3,5,Zero
177,3,13,3,8,3,2,4,5,4,6,Zero
178,4,7,1,1,2,8,2,12,3,12,One
179,3,11,1,12,4,4,1,2,2,12,One
180,2,3,2,4,1,3,2,12,4,4,Two
181,2,7,4,3,3,4,2,11,4,9,Zero
182,2,5,4,10,1,12,1,3,4,4,Zero
183,2,1,1,1,3,9,4,8,4,1,Three
184,1,8,1,11,4,10,4,3,2,9,Zero
185,3,13,2,9,3,5,2,1,2,7,Zero
186,3,13,4,9,4,1,3,5,2,12,Zero
187,4,3,2,12,4,2,4,13,3,9,Zero
188,2,2,4,5,1,4,3,8,3,5,One
189,2,8,2,5,2,2,4,8,4,5,Two
190,3,12,3,4,3,5,4,8,2,6,Zero
191,2,4,4,8,4,7,3,2,4,4,One
192,4,13,2,10,3,6,1,1,2,13,One
193,2,13,1,2,3,7,1,10,2,9,Zero
194,1,8,3,10,3,9,3,13,3,12,Zero
195,1,8,2,7,1,13,1,3,3,8,One
196,1,8,4,9,2,5,4,3,4,7,Zero
197,1,9,3,13,4,5,2,2,4,13,One
198,4,4,2,2,3,11,4,12,1,6,Zero
199,2,8,1,1,3,3,2,7,3,7,One
200,2,7,4,6,1,1,1,10,2,4,Zero
201,2,2,4,2,1,1,4,5,1,9,One
202,2,2,4,5,1,6,2,12,2,8,Zero
203,1,13,2,5,2,2,2,3,1,9,Zero
204,1,3,1,8,2,12,4,10,2,11,Zero
205,4,3,4,12,3,8,2,6,4,2,Zero
206,1,12,2,12,2,2,4,5,1,13,One
207,3,10,1,7,3,6,1,12,2,3,Zero
208,1,8,4,4,2,12,1,4,1,12,Two
209,1,3,2,11,4,1,2,8,1,6,Zero
210,4,1,2,5,1,6,3,9,1,5,One
211,1,2,2,4,2,1,2,12,2,3,Zero
212,4,2,1,3,3,4,3,12,2,4,One
213,1,13,4,4,1,9,3,7,3,12,Zero
214,3,9,1,5,1,10,2,13,3,1,Zero
215,4,3,4,9,3,10,3,2,2,11,Zero
216,4,3,4,1,1,10,2,12,4,9,Zero
217,2,1,1,8,3,7,4,8,2,5,One
218,2,12,1,13,4,9,2,11,4,10,Four
219,2,3,4,1,3,3,1,4,1,9,One
220,1,3,3,10,3,9,3,8,4,1,Zero
221,4,3,3,1,1,11,4,10,3,5,Zero
222,2,13,4,3,4,9,4,7,1,11,Zero
223,3,3,4,11,3,7,1,10,2,4,Zero
224,1,7,1,4,3,13,3,12,3,11,Zero
225,3,6,4,5,2,4,3,5,1,13,One
226,3,5,2,13,4,6,1,10,3,4,Zero
227,2,6,3,7,2,1,4,10,4,11,Zero
228,3,8,2,2,4,3,3,7,3,11,Zero
229,4,13,2,13,1,9,3,4,3,10,One
230,2,13,4,12,3,3,4,4,2,8,Zero
231,4,11,1,10,2,1,1,12,4,2,Zero
232,4,3,4,8,3,4,2,9,3,8,One
233,3,11,3,1,1,4,2,7,2,10,Zero
234,4,2,4,4,4,9,4,12,2,3,Zero
235,2,13,3,1,3,8,2,7,4,12,Zero
236,2,12,1,7,4,7,2,3,1,8,One
237,1,7,2,12,4,10,1,10,4,6,One
238,1,11,3,9,4,11,4,6,3,5,One
239,2,2,4,9,1,13,1,3,1,5,Zero
240,1,11,1,13,4,6,4,7,3,12,Zero
241,4,9,2,7,3,12,4,10,3,2,Zero
242,4,6,1,8,2,3,3,11,4,9,Zero
243,2,2,3,6,2,11,3,11,1,11,Three
244,3,1,1,2,2,5,4,13,2,2,One
245,2,11,1,5,3,6,3,12,2,3,Zero
246,3,4,1,1,1,8,3,10,4,13,Zero
247,3,5,4,7,2,3,2,5,4,6,One
248,2,7,2,5,3,8,4,13,1,10,Zero
249,2,2,3,3,1,4,2,7,4,13,Zero
250,2,10,3,6,3,11,3,13,1,5,Zero
251,1,11,3,3,3,1,1,2,2,6,Zero
252,3,8,4,1,4,11,4,6,4,8,One
253,2,8,1,12,3,4,2,13,4,12,One
254,2,11,4,3,3,5,3,10,4,4,Zero
255,2,6,1,12,3,11,2,10,2,5,Zero
256,1,4,1,9,3,5,2,2,1,3,Zero
257,3,3,2,13,1,9,4,6,3,9,One
258,4,10,3,13,3,6,3,5,2,10,One
259,4,3,4,10,4,12,1,8,3,12,One
260,4,3,1,12,2,5,3,3,4,6,One
261,4,11,1,9,3,5,4,12,4,3,Zero
262,2,6,3,3,3,10,3,6,3,7,One
263,1,9,3,2,1,13,4,2,3,9,Two
264,3,4,1,2,3,11,2,2,4,13,One
265,4,13,1,4,2,12,2,6,3,12,One
266,1,2,4,8,3,10,2,4,3,4,One
267,3,12,1,8,4,8,3,2,2,9,One
268,2,3,3,8,2,1,3,5,3,12,Zero
269,1,4,1,8,3,13,1,1,3,2,Zero
270,1,3,4,2,4,1,3,9,2,10,Zero
271,2,11,2,7,1,11,3,5,3,8,One
272,2,7,4,13,4,8,2,2,1,3,Zero
273,2,6,1,3,2,3,4,1,1,1,Two
274,2,8,3,12,2,11,4,2,1,4,Zero
275,4,13,3,1,1,4,2,10,2,13,One
276,1,2,4,8,1,8,1,1,1,9,One
277,2,13,1,4,4,10,1,7,1,10,One
278,4,8,1,8,4,9,4,1,1,11,One
279,1,2,4,8,1,1,4,12,2,6,Zero
280,1,3,1,2,3,10,4,5,1,1,Zero
281,1,8,2,7,3,12,1,2,2,5,Zero
282,2,1,1,4,2,2,3,13,2,13,One
283,3,8,3,6,2,5,1,13,3,10,Zero
284,3,8,3,4,2,1,2,4,3,9,One
285,4,6,2,4,2,7,2,12,1,2,Zero
286,1,12,3,11,4,2,3,6,2,8,Zero
287,1,7,2,11,4,4,3,8,1,13,Zero
288,4,1,4,3,1,7,1,1,3,3,Two
289,2,8,1,1,1,10,4,8,1,9,One
290,2,1,4,2,4,10,2,10,4,11,One
291,3,5,3,2,4,8,4,6,2,13,Zero
292,3,6,2,8,1,8,2,7,1,9,One
293,1,6,1,3,2,6,2,4,1,10,One
294,3,10,1,6,1,8,2,9,3,5,Zero
295,2,9,4,13,1,6,3,12,1,3,Zero
296,3,12,3,3,3,1,2,7,4,9,Zero
297,4,9,2,9,1,11,3,13,2,7,One
298,4,11,2,13,4,5,2,12,4,13,One
299,2,11,2,2,2,7,3,13,4,8,Zero
300,4,1,1,3,1,11,4,12,4,10,Zero
301,1,5,3,7,4,2,1,10,3,13,Zero
302,3,13,1,4,1,11,3,9,4,4,One
303,3,2,3,11,4,7,4,11,3,5,One
304,2,13,1,7,4,10,3,13,1,12,One
305,4,2,4,1,1,1,1,2,4,10,Two
306,3,11,2,7,2,12,2,5,1,7,One
307,1,9,2,7,2,4,4,5,3,13,Zero
308,2,4,2,12,4,7,4,13,3,4,One
309,3,7,2,12,1,3,1,10,2,8,Zero
310,1,8,1,9,3,8,2,1,1,10,One
311,3,4,4,2,3,12,1,10,1,1,Zero
312,1,1,1,8,1,13,4,3,3,2,Zero
313,2,10,4,9,2,2,4,11,4,13,Zero
314,3,8,1,11,3,12,2,5,2,9,Zero
315,2,13,4,7,4,12,4,13,1,8,One
316,1,11,4,6,4,4,2,7,2,2,Zero
317,4,7,4,8,1,12,2,5,2,2,Zero
318,4,13,3,12,4,10,1,11,2,9,Four
319,2,7,3,13,4,9,3,11,4,3,Zero
320,2,9,3,5,2,5,1,12,2,1,One
321,2,8,3,4,2,3,4,12,1,8,One
322,4,6,1,9,1,12,2,13,4,9,One
323,1,2,2,4,3,7,2,8,3,5,Zero
324,3,10,4,9,2,8,4,5,3,2,Zero
325,3,5,1,7,1,9,4,12,4,4,Zero
326,3,3,1,12,2,7,4,11,4,5,Zero
327,4,4,1,3,3,13,2,1,4,8,Zero
328,3,8,3,3,2,9,1,9,4,10,One
329,1,13,1,6,3,13,3,4,2,2,One
330,2,1,4,13,3,13,1,8,2,12,One
331,4,2,1,9,2,10,2,3,1,4,Zero
332,2,6,1,5,3,3,2,3,1,12,One
333,4,10,1,2,1,6,2,12,2,3,Zero
334,3,8,3,3,4,1,3,5,3,2,Zero
335,2,4,1,7,2,11,2,7,2,2,One
336,2,12,3,5,3,8,4,1,4,2,Zero
337,2,10,4,1,1,7,3,1,1,5,One
338,4,13,1,4,3,12,3,10,4,3,Zero
339,4,8,3,1,3,10,4,5,3,11,Zero
340,3,10,1,11,1,7,2,4,2,6,Zero
341,3,13,2,7,1,12,3,6,2,10,Zero
342,3,12,2,9,3,11,1,12,3,2,One
343,1,13,1,5,3,3,4,11,1,8,Zero
344,4,2,3,13,2,5,1,9,4,11,Zero
345,4,6,3,7,1,4,1,11,4,7,One
346,2,10,1,6,2,7,2,11,1,3,Zero
347,3,13,1,10,2,11,4,7,2,3,Zero
348,4,3,3,1,1,6,1,5,2,10,Zero
349,1,12,4,11,1,13,4,3,4,5,Zero
350,1,13,1,11,1,4,4,12,1,10,Zero
351,2,11,3,9,2,13,1,11,1,13,Two
352,4,8,1,11,3,10,4,3,3,12,Zero
353,1,2,4,2,4,4,3,3,1,1,One
354,1,5,4,5,2,7,2,6,1,8,One
355,3,5,4,9,2,11,4,5,4,4,One
356,4,3,3,13,3,9,2,13,3,5,One
357,3,3,4,3,2,2,2,11,3,2,Two
358,1,6,1,8,1,5,2,2,1,1,Zero
359,2,3,3,5,3,6,3,3,3,2,One
360,4,6,3,6,3,5,3,1,2,6,Three
361,3,2,2,9,2,13,3,11,3,4,Zero
362,2,6,3,5,4,12,2,11,4,11,One
363,3,6,2,13,2,4,2,9,4,8,Zero
364,4,1,4,11,2,3,1,12,4,4,Zero
365,4,6,1,13,1,2,4,10,3,5,Zero
366,2,8,1,10,4,8,1,5,3,5,Two
367,4,11,2,12,1,8,3,3,1,1,Zero
368,4,1,1,12,2,8,4,2,3,6,Zero
369,1,5,3,13,2,13,2,7,4,5,Two
370,4,2,1,6,3,6,4,11,4,4,One
371,4,10,2,4,4,6,1,6,1,10,Two
372,3,4,2,1,4,4,4,8,2,6,One
373,4,3,2,4,3,1,3,11,1,2,Zero
374,4,11,1,7,1,1,4,5,1,13,Zero
375,1,1,2,9,1,13,2,5,2,1,One
376,4,13,3,13,4,3,4,4,2,4,Two
377,3,3,4,1,4,3,1,3,3,7,Three
378,2,5,1,12,4,6,1,8,2,10,Zero
379,2,6,4,12,2,10,4,10,3,10,Three
380,3,1,2,13,1,9,2,11,2,12,Zero
381,3,3,3,9,3,7,1,13,4,9,One
382,1,2,2,2,1,4,3,1,4,6,One
383,1,7,3,11,4,7,2,9,3,3,One
384,3,5,3,6,4,6,4,9,4,7,One
385,3,7,4,10,3,9,3,6,4,3,Zero
386,3,3,4,13,1,13,2,10,2,7,One
387,1,9,2,5,4,13,4,11,1,5,One
388,4,7,2,13,2,6,2,9,3,12,Zero
389,4,8,3,7,2,7,4,4,2,2,One
390,4,5,1,12,1,10,4,1,2,7,Zero
391,1,11,4,12,3,13,4,8,2,8,One
392,2,12,3,11,1,9,4,4,2,4,One
393,4,10,3,11,1,9,3,13,1,2,Zero
394,2,8,2,10,4,10,1,6,2,13,One
395,3,3,1,4,2,4,1,11,1,10,One
396,1,9,4,9,1,11,2,2,3,1,One
397,4,7,1,12,2,4,3,7,3,6,One
398,2,6,3,9,4,3,4,9,4,11,One
399,1,8,2,4,3,6,4,12,2,11,Zero
400,3,2,4,9,4,3,1,9,4,7,One
401,2,7,1,4,2,12,2,8,3,1,Zero
402,4,8,2,10,4,10,3,12,1,3,One
403,2,11,2,9,1,11,4,9,3,4,Two
404,4,3,1,11,2,7,1,12,2,3,One
405,2,1,2,13,4,6,2,12,1,13,One
406,2,1,3,3,1,13,2,13,1,11,One
407,4,8,3,3,2,3,4,3,2,7,Three
408,2,9,3,10,2,11,2,5,2,12,Zero
409,1,10,4,9,4,10,1,13,3,10,Three
410,2,8,3,9,4,13,3,8,4,11,One
411,1,11,4,9,2,4,2,6,4,1,Zero
412,3,9,1,2,2,11,1,1,2,12,Zero
413,2,12,3,1,4,8,3,11,3,8,One
414,3,4,2,13,4,5,3,8,1,7,Zero
415,3,13,3,12,3,10,3,9,1,8,Zero
416,3,5,2,10,2,12,3,11,1,12,One
417,4,6,3,7,2,2,3,9,2,1,Zero
418,3,9,4,12,1,7,3,10,3,12,One
419,2,4,4,10,3,3,1,5,2,13,Zero
420,4,2,1,2,4,9,4,12,2,7,One
421,4,9,3,8,4,11,3,13,4,4,Zero
422,3,1,4,5,3,6,1,8,1,9,Zero
423,3,3,1,1,2,12,3,13,1,8,Zero
424,3,11,1,2,3,5,2,3,3,6,Zero
425,1,6,2,2,4,7,3,5,4,8,Zero
426,3,4,1,6,1,7,1,9,4,3,Zero
427,1,11,4,8,2,4,2,10,1,10,One
428,1,1,3,2,2,12,3,9,4,11,Zero
429,3,9,4,11,4,3,1,7,3,13,Zero
430,1,9,4,2,2,12,1,6,2,1,Zero
431,2,7,3,8,4,3,3,9,1,2,Zero
432,1,5,1,9,4,4,4,10,3,8,Zero
433,4,8,3,4,4,7,4,10,2,12,Zero
434,2,8,4,2,4,9,1,10,1,2,One
435,3,10,2,7,1,4,4,2,3,2,One
436,3,2,4,7,4,9,4,4,2,4,One
437,1,2,1,12,1,10,1,3,4,9,Zero
438,3,6,1,7,1,4,4,11,1,3,Zero
439,4,4,2,12,1,8,2,1,4,8,One
440,4,13,1,4,3,5,2,13,4,11,One
441,3,12,2,10,2,12,1,11,4,3,One
442,4,2,1,7,3,7,4,3,3,6,One
443,1,5,4,12,4,10,4,9,4,8,Zero
444,2,5,2,7,3,10,1,11,4,1,Zero
445,1,13,2,1,2,12,1,5,1,2,Zero
446,2,3,2,11,2,12,2,4,4,11,One
447,4,5,2,6,3,4,3,6,4,13,One
448,3,3,2,7,3,5,3,6,2,8,Zero
449,3,7,1,6,3,5,2,4,1,9,Zero
450,1,9,1,7,1,12,4,7,2,11,One
451,2,10,2,8,3,12,3,13,1,12,One
452,4,11,2,4,4,13,2,10,3,8,Zero
453,3,9,1,12,1,4,2,5,3,10,Zero
454,2,8,1,1,4,8,1,8,1,10,Three
455,1,4,4,5,2,3,2,1,1,5,One
456,4,6,2,7,3,11,1,9,3,4,Zero
457,1,9,1,11,1,6,3,7,1,2,Zero
458,3,9,3,6,3,3,4,1,1,6,One
459,4,1,3,8,1,5,3,2,4,12,Zero
460,1,10,4,1,1,1,2,3,2,6,One
461,2,7,4,8,1,5,3,2,4,10,Zero
462,4,9,2,11,3,2,1,7,2,3,Zero
463,4,5,4,9,2,2,3,7,4,1,Zero
464,3,2,4,13,1,3,4,10,1,1,Zero
465,2,8,3,2,4,12,1,9,2,7,Zero
466,4,8,1,3,4,12,2,12,2,6,One
467,1,10,3,13,2,9,3,2,4,6,Zero
468,1,6,1,2,3,3,1,1,2,12,Zero
469,3,1,4,4,2,3,4,7,3,13,Zero
470,3,4,4,4,4,10,4,13,2,2,One
471,4,7,3,5,4,6,3,8,1,12,Zero
472,4,9,3,10,2,1,2,10,3,8,One
473,2,5,3,11,4,8,3,3,3,13,Zero
474,3,3,1,9,2,12,1,7,4,4,Zero
475,3,1,4,9,3,7,4,3,3,10,Zero
476,2,4,1,2,3,12,4,5,4,2,One
477,4,3,3,6,3,8,2,13,1,10,Zero
478,1,9,3,4,1,12,2,1,1,4,One
479,4,5,3,8,1,7,4,7,3,13,One
480,4,2,1,12,4,5,3,7,2,2,One
481,2,4,1,2,4,2,1,4,4,7,Two
482,4,6,3,1,1,9,2,8,3,5,Zero
483,2,1,3,5,2,9,3,1,2,8,One
484,4,2,2,4,2,2,2,5,4,6,One
485,3,12,2,5,2,11,2,12,1,3,One
486,3,4,2,11,4,1,3,7,2,1,One
487,4,10,4,7,3,12,4,5,2,6,Zero
488,1,11,2,6,3,4,4,9,1,9,One
489,4,4,3,2,3,12,2,7,1,6,Zero
490,2,10,1,10,1,2,1,3,2,5,One
491,3,5,4,1,2,8,2,3,1,5,One
492,3,6,2,12,1,9,1,12,4,4,One
493,1,9,1,12,4,3,2,13,3,10,Zero
494,1,3,3,4,2,3,3,5,2,1,One
495,4,11,1,12,3,7,2,4,2,1,Zero
496,1,3,3,9,2,6,4,1,3,7,Zero
497,2,4,1,4,4,2,1,5,3,4,Three
498,1,12,2,1,4,2,1,6,3,7,Zero
499,1,3,4,5,3,10,3,11,4,10,One
500,1,2,4,8,2,4,2,12,2,1,Zero
501,4,13,4,11,3,6,1,7,4,12,Zero
502,2,2,3,2,4,1,3,12,4,5,One
503,2,4,1,1,3,7,2,1,1,8,One
504,1,5,4,6,3,10,2,12,4,1,Zero
505,2,7,4,3,3,9,4,8,3,7,One
506,2,10,2,3,2,2,2,1,3,2,One
507,4,3,3,8,2,3,4,10,4,12,One
508,3,9,2,13,3,11,1,2,3,2,One
509,2,1,1,12,2,7,4,1,3,3,One
510,2,2,1,7,2,6,1,5,1,11,Zero
511,3,4,1,8,3,13,1,11,2,1,Zero
512,1,8,4,8,1,2,3,12,1,10,One
513,1,9,4,11,2,2,1,4,2,11,One
514,3,6,1,11,1,12,1,6,1,5,One
515,2,2,4,5,3,8,3,12,2,6,Zero
516,3,1,2,1,1,8,1,11,4,1,Three
517,3,13,3,11,1,4,4,8,2,11,One
518,2,9,1,9,4,9,2,1,1,13,Three
519,2,13,3,10,3,4,4,2,1,7,Zero
520,1,12,4,10,4,11,2,12,3,6,One
521,4,12,1,4,1,9,3,8,1,3,Zero
522,2,7,4,13,4,1,1,8,4,2,Zero
523,1,1,3,8,1,9,2,12,3,3,Zero
524,1,5,2,1,1,7,2,10,3,8,Zero
525,3,10,3,13,1,5,1,10,4,7,One
526,2,8,3,1,2,11,3,4,3,3,Zero
527,2,12,4,9,4,10,4,1,1,5,Zero
528,1,12,3,8,4,13,3,13,3,6,One
529,3,2,3,13,1,5,4,2,2,1,One
530,1,6,4,12,1,9,1,7,3,3,Zero
531,4,12,3,10,1,10,4,9,3,12,Two
532,2,11,1,2,3,12,3,4,1,11,One
533,2,8,3,13,3,8,1,8,2,1,Three
534,4,8,1,9,1,13,4,1,2,12,Zero
535,1,7,3,1,2,11,2,4,1,6,Zero
536,1,9,3,11,4,10,3,13,2,8,Zero
537,1,12,4,3,3,7,4,7,2,5,One
538,4,13,3,13,4,5,2,11,3,8,One
539,3,5,1,3,4,8,4,3,3,9,One
540,1,8,4,6,2,9,2,11,3,13,Zero
541,4,10,2,8,2,1,2,3,1,1,One
542,1,3,2,6,4,2,2,1,4,1,One
543,3,2,4,10,2,5,3,9,4,7,Zero
544,3,1,1,11,3,2,3,9,1,1,One
545,3,3,3,4,1,3,3,12,3,10,One
546,1,3,3,13,2,4,2,1,1,5,Zero
547,3,1,3,4,1,12,3,6,4,3,Zero
548,2,4,1,5,2,6,1,6,3,8,One
549,4,2,4,13,3,7,1,4,1,1,Zero
550,2,6,3,3,3,2,3,9,1,8,Zero
551,4,2,4,12,3,8,2,3,1,4,Zero
552,3,11,4,11,2,10,4,1,2,4,One
553,4,8,1,10,1,3,2,7,1,7,One
554,3,5,1,5,1,13,1,10,3,9,One
